Barcode NO.,Isc(A),Voc(V),Imp(A),Vmp(V),Pmax(W),Carton NO.,Pallet NO.,Cable Length,Connector,Country of Origin,Current Sorting
11702050531750,9.29,45.47,8.84,36.17,319.80,170520204388,19,1160mm,PV2b,CN,I3
11702050590015,9.20,45.29,8.78,36.16,317.60,170520204388,19,1160mm,PV2b,CN,I3
11702050590013,9.22,45.31,8.75,36.31,317.80,170520204388,19,1160mm,PV2b,CN,I3
11702050590100,9.19,45.23,8.76,36.25,317.70,170520204388,19,1160mm,PV2b,CN,I3
11702050590017,9.23,45.36,8.84,36.14,319.60,170520204388,19,1160mm,PV2b,CN,I3
11702050590016,9.22,45.34,8.78,36.26,318.50,170520204388,19,1160mm,PV2b,CN,I3
11702050590076,9.21,45.23,8.77,36.27,318.00,170520204388,19,1160mm,PV2b,CN,I3
11702050590090,9.18,45.40,8.83,36.16,319.20,170520204388,19,1160mm,PV2b,CN,I3
11702050590025,9.30,45.46,8.81,36.31,319.90,170520204388,19,1160mm,PV2b,CN,I3
11702050590059,9.23,45.24,8.84,36.06,318.80,170520204388,19,1160mm,PV2b,CN,I3
11702050580476,9.19,45.24,8.75,36.27,317.50,170520204388,19,1160mm,PV2b,CN,I3
11702050580436,9.23,45.32,8.75,36.27,317.50,170520204388,19,1160mm,PV2b,CN,I3
11702050580494,9.19,45.39,8.75,36.30,317.80,170520204388,19,1160mm,PV2b,CN,I3
11702050580497,9.25,45.31,8.78,36.16,317.60,170520204388,19,1160mm,PV2b,CN,I3
11702050580471,9.23,45.34,8.77,36.32,318.40,170520204388,19,1160mm,PV2b,CN,I3
11702050580419,9.27,45.37,8.83,36.19,319.50,170520204388,19,1160mm,PV2b,CN,I3
11702050580491,9.21,45.36,8.81,36.25,319.50,170520204388,19,1160mm,PV2b,CN,I3
11702050580308,9.19,45.30,8.75,36.30,317.60,170520204388,19,1160mm,PV2b,CN,I3
11702050580564,9.23,45.33,8.81,36.25,319.50,170520204388,19,1160mm,PV2b,CN,I3
11702050580272,9.22,45.21,8.72,36.28,316.50,170520204388,19,1160mm,PV2b,CN,I3
